Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location,latlng,lat,lng
19-26359,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,11/12/2019,01/22/2020,08309019300,NOBLES,,974  MAIN ST,NASHVILLE,TN,37206.0,6.0,37019200.0,"974 MAIN ST
NASHVILLE, TN 37206
(36.177925, -86.752119)","36.177925, -86.752119",36.177925, -86.752119
20-26738,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/13/2020,08/31/2020,065130A00200CO,NASH SMOKES & BREWS,Nader Wasif,4963  LEBANON PIKE,OLD HICKORY,TN,37138.0,11.0,37015401.0,"4963 LEBANON PIKE
OLD HICKORY, TN 37138
(36.216438, -86.584397)","36.216438, -86.584397",36.216438, -86.584397
19-26145,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/12/2019,08/29/2019,082090Q00100CO,"312 PIZZA COMPANY, LLC",,371  MONROE ST,NASHVILLE,TN,37208.0,19.0,37019400.0,"371 MONROE ST
NASHVILLE, TN 37208
(36.177203, -86.787912)","36.177203, -86.787912",36.177203, -86.787912
19-26312,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/10/2019,01/22/2020,18600002600,TITOS MEXICAN RESTAURANT,Jose Mata,3  BURKITT COMMONS AVE  315,NOLENSVILLE,TN,37135.0,31.0,37019114.0,"3 BURKITT COMMONS AVE 315
NOLENSVILLE, TN 37135",,,
19-25946,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/19/2019,07/26/2019,08215021900,TRAVELCENTERS OF AMERICA,,111 N 1ST ST,NASHVILLE,TN,37213.0,5.0,37019300.0,"111 N 1ST ST
NASHVILLE, TN 37213
(36.171019, -86.773247)","36.171019, -86.773247",36.171019, -86.773247
21-27053,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/20/2021,02/16/2021,09111005500,EL PASEO,Eugene Nelson,5104  ILLINOIS AVE,NASHVILLE,TN,37209.0,20.0,37013300.0,"5104 ILLINOIS AVE
NASHVILLE, TN 37209
(36.157624, -86.849321)","36.157624, -86.849321",36.157624, -86.849321
19-26284,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/25/2019,06/11/2020,09309008300,PINS MECHANICAL COMPANY,,1102  GRUNDY ST,NASHVILLE,TN,37203.0,19.0,37019500.0,"1102 GRUNDY ST
NASHVILLE, TN 37203
(36.158359, -86.787847)","36.158359, -86.787847",36.158359, -86.787847
19-26340,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/29/2019,01/23/2020,06008001900,FAMILY DOLLAR STORE # 22627,,3049  DICKERSON PIKE,NASHVILLE,TN,37207.0,8.0,37011001.0,"3049 DICKERSON PIKE
NASHVILLE, TN 37207
(36.228912, -86.759345)","36.228912, -86.759345",36.228912, -86.759345
20-26412,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/03/2020,01/23/2020,05104006500,Class Axe,,934  MADISON SQ,MADISON,TN,37115.0,8.0,37010701.0,"934 MADISON SQ
MADISON, TN 37115
(36.255705, -86.715856)","36.255705, -86.715856",36.255705, -86.715856
19-26402,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/18/2019,01/23/2020,16104018000,ZACKS EXPRESS MART/PHILLIPS 66,,5101  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,27.0,37019105.0,"5101 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.058455, -86.716237)","36.058455, -86.716237",36.058455, -86.716237
19-26296,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/02/2019,01/24/2020,18100023900,LOS PORTALES MEXICAN RESTAURANT,,6448  NOLENSVILLE PIKE,ANTIOCH,TN,37013.0,31.0,37019114.0,"6448 NOLENSVILLE PIKE
ANTIOCH, TN 37013
(36.009522, -86.701677)","36.009522, -86.701677",36.009522, -86.701677
20-26729,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/01/2020,06/05/2020,13302025000,WOODBINE FRESH MARKET,HAFIZ YAFAI,3302  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,16.0,37017500.0,"3302 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.101283, -86.740316)","36.101283, -86.740316",36.101283, -86.740316
19-26187,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/05/2019,01/24/2020,183050B00100CO,SMOKE AND BREW,,3809  OCTOBER WOODS DR  101,ANTIOCH,TN,37013.0,33.0,37019117.0,"3809 OCTOBER WOODS DR 101
ANTIOCH, TN 37013",,,
19-26346,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/05/2019,01/30/2020,07115048800,Coneheads and Plane Jane,Marcus L. Buggs,1315  DICKERSON PIKE,NASHVILLE,TN,37207.0,5.0,37011300.0,"1315 DICKERSON PIKE
NASHVILLE, TN 37207
(36.195548, -86.772099)","36.195548, -86.772099",36.195548, -86.772099
22-27801,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/09/2022,07/14/2022,092124A00400CO,CONRAD HILTON NASHVILLE,,1620  WEST END AVE,NASHVILLE,TN,37203.0,21.0,37019500.0,"1620 WEST END AVE
NASHVILLE, TN 37203
(36.153882, -86.794193)","36.153882, -86.794193",36.153882, -86.794193
19-26256,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/10/2019,01/31/2020,13500024900,LA VILLA MEXICAN GRILL AND SEAFOOD,,2256  MURFREESBORO PIKE,NASHVILLE,TN,37217.0,29.0,37015612.0,"2256 MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.088421, -86.649583)","36.088421, -86.649583",36.088421, -86.649583
21-27275,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/04/2021,07/14/2022,10200009300,LONGHORN STEAKHOUSE #5639,"GMRI, Inc.     100%",6804  CHARLOTTE PIKE,NASHVILLE,TN,37209.0,20.0,37018201.0,"6804 CHARLOTTE PIKE
NASHVILLE, TN 37209
(36.134695, -86.888182)","36.134695, -86.888182",36.134695, -86.888182
19-26397,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",12/12/2019,06/11/2020,06000002400,"LIPMAN BROTHERS, LLC","Ernest Berry Holt 24.5% of RSL Holdings, Inc., Robert S. Lipman 51% of RSL Holdings, Inc.",2815  BRICK CHURCH PIKE,NASHVILLE,TN,37207.0,2.0,37012701.0,"2815 BRICK CHURCH PIKE
NASHVILLE, TN 37207
(36.217859, -86.781764)","36.217859, -86.781764",36.217859, -86.781764
22-28072,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/22/2022,01/13/2023,06200006500,"GAYLORD SPRINGS GOLF LINKS (CLUBHOUSE, 2ND FLOOR)",,18  SPRINGHOUSE LN,NASHVILLE,TN,37214.0,15.0,37015300.0,"18 SPRINGHOUSE LN
NASHVILLE, TN 37214
(36.21957, -86.68005)","36.21957, -86.68005",36.21957, -86.68005
22-27763,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/12/2022,07/15/2022,09102028500,MARU NATIONS,,5511  CENTENNIAL BLVD,NASHVILLE,TN,37209.0,20.0,37013300.0,"5511 CENTENNIAL BLVD
NASHVILLE, TN 37209
(36.166099, -86.855526)","36.166099, -86.855526",36.166099, -86.855526
21-27450,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/29/2021,01/13/2022,09313058400,THE ELECTRIC JANE,,1301  DIVISION ST,NASHVILLE,TN,37203.0,19.0,37016300.0,"1301 DIVISION ST
NASHVILLE, TN 37203
(36.151466, -86.787718)","36.151466, -86.787718",36.151466, -86.787718
22-28073,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/22/2022,01/13/2023,07300003900,GENERAL JACKSON SHOWBOAT - PATIO,,577  OPRY MILLS DR,NASHVILLE,TN,37214.0,15.0,37015300.0,"577 OPRY MILLS DR
NASHVILLE, TN 37214
(36.20828, -86.69832)","36.20828, -86.69832",36.20828, -86.69832
20-26768,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/08/2020,06/11/2020,14900016500,LEWIS MARKET LLC,,2723A  MURFREESBORO PIKE,ANTIOCH,TN,37013.0,32.0,37015629.0,"2723A MURFREESBORO PIKE
ANTIOCH, TN 37013
(36.07009, -86.634171)","36.07009, -86.634171",36.07009, -86.634171
19-26083,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/10/2019,10/07/2019,10509047100,CAFE MAKAI,,1210  WEDGEWOOD AVE,NASHVILLE,TN,37212.0,17.0,37016300.0,"1210 WEDGEWOOD AVE
NASHVILLE, TN 37212
(36.13616, -86.789553)","36.13616, -86.789553",36.13616, -86.789553
20-26899,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/31/2020,10/08/2020,14908005800,LARRY'S RESTAURANT AND LOUNGE,,2572A  MURFREESBORO PIKE,NASHVILLE,TN,37217.0,29.0,37015612.0,"2572A MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.075475, -86.639556)","36.075475, -86.639556",36.075475, -86.639556
20-26852,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/12/2020,10/08/2020,04300002100,RIVERSIDE GOLF LINKS,Terry C Reeves - 100%,640  OLD HICKORY BLVD,OLD HICKORY,TN,37138.0,11.0,37010501.0,"640 OLD HICKORY BLVD
OLD HICKORY, TN 37138
(36.2669, -86.67025)","36.2669, -86.67025",36.2669, -86.67025
22-27946,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/23/2022,01/13/2023,08102018300,E & M MARKET,Bola Fahmy,2600  CLARKSVILLE PIKE,NASHVILLE,TN,37208.0,2.0,37013700.0,"2600 CLARKSVILLE PIKE
NASHVILLE, TN 37208
(36.18694, -86.81892)","36.18694, -86.81892",36.18694, -86.81892
21-27143,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2021,06/02/2021,11909014000,7-ELEVEN 41083H,David Seltzer,2802  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,16.0,37017300.0,"2802 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.112749, -86.746151)","36.112749, -86.746151",36.112749, -86.746151
20-26772,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/13/2020,02/25/2021,10402033700,FAIRFIELD INN & SUITES NASHVILLE/VANDERBILT,,109  29TH AVE N,NASHVILLE,TN,37203.0,21.0,37016600.0,"109 29TH AVE N
NASHVILLE, TN 37203
(36.145474, -86.813878)","36.145474, -86.813878",36.145474, -86.813878
21-27064,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/02/2021,02/25/2021,07103005200,GARIBALDI MARKET,,2402  DICKERSON PIKE,NASHVILLE,TN,37207.0,5.0,37011001.0,"2402 DICKERSON PIKE
NASHVILLE, TN 37207
(36.208392, -86.767277)","36.208392, -86.767277",36.208392, -86.767277
21-27046,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/15/2021,02/25/2021,10801006800,SONESTA SELECT NASHVILLE AIRPORT SUITES,,1100  AIRPORT CENTER DR,NASHVILLE,TN,37214.0,15.0,37015502.0,"1100 AIRPORT CENTER DR
NASHVILLE, TN 37214
(36.144122, -86.663486)","36.144122, -86.663486",36.144122, -86.663486
21-27462,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/15/2021,01/13/2022,04000010800,SUDDEN SERVICE #6115,"Leslie Evans Cherry, Steven Ray Hostetter",7538  OLD HICKORY BLVD,WHITES CREEK,TN,37189.0,3.0,37010201.0,"7538 OLD HICKORY BLVD
WHITES CREEK, TN 37189
(36.276978, -86.795979)","36.276978, -86.795979",36.276978, -86.795979
19-26032,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/16/2019,10/10/2019,07900009400,OZ ARTS NASHVILLE,,6172  COCKRILL BEND CIR,NASHVILLE,TN,37209.0,20.0,37013000.0,"6172 COCKRILL BEND CIR
NASHVILLE, TN 37209
(36.179653, -86.891933)","36.179653, -86.891933",36.179653, -86.891933
18-25743,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/23/2018,10/10/2019,08305021200,CHOPPER,,1100B  STRATTON AVE,NASHVILLE,TN,37206.0,6.0,37012100.0,"1100B STRATTON AVE
NASHVILLE, TN 37206
(36.182695, -86.748754)","36.182695, -86.748754",36.182695, -86.748754
13-19812,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/26/2013,10/24/2013,093100B00100CO,Two Twenty Two Grill & Catering,Hall of Fame Grill &amp; Catering LLC,222  REP JOHN LEWIS WAY S,NASHVILLE,TN,37203.0,19.0,37019500.0,"222 REP JOHN LEWIS WAY S
NASHVILLE, TN 37203",,,
21-27468,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/15/2021,01/13/2022,16100003400,SUDDEN SERVICE #7206,"Leslie Evans Cherry, Steven Ray Hostetter",410B  OLD HICKORY BLVD,BRENTWOOD,TN,37027.0,4.0,37018801.0,"410B OLD HICKORY BLVD
BRENTWOOD, TN 37027
(36.040466, -86.745407)","36.040466, -86.745407",36.040466, -86.745407
22-27674,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/25/2022,04/14/2022,14200025900,TWIN KEGS,,142  BELLE FOREST CIR,NASHVILLE,TN,37221.0,22.0,37018401.0,"142 BELLE FOREST CIR
NASHVILLE, TN 37221
(36.076625, -86.922371)","36.076625, -86.922371",36.076625, -86.922371
19-26096,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/20/2019,10/10/2019,13001004700,360 BISTRO,Nick Jacobson 100% Owner,6000  HIGHWAY 100   100,NASHVILLE,TN,37205.0,23.0,37018500.0,"6000 HIGHWAY 100 100
NASHVILLE, TN 37205
(36.097637, -86.872814)","36.097637, -86.872814",36.097637, -86.872814
22-27739,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/27/2022,07/15/2022,10301013700,SOUL,,6317B  CHARLOTTE PIKE  MARKET,NASHVILLE,TN,37209.0,20.0,37018101.0,"6317B CHARLOTTE PIKE MARKET
NASHVILLE, TN 37209",,,
22-27765,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/13/2022,07/15/2022,09503001300,KRUSTACEANS SEAFOOD,Antoine Riley,2260  LEBANON PIKE,NASHVILLE,TN,37214.0,15.0,37015200.0,"2260 LEBANON PIKE
NASHVILLE, TN 37214
(36.168686, -86.685596)","36.168686, -86.685596",36.168686, -86.685596
22-28075,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/22/2022,01/13/2023,06200006500,GAYLORD SPRINGS GOLF LINKS (FOOD CART),,18  SPRINGHOUSE LN,NASHVILLE,TN,37214.0,15.0,37015300.0,"18 SPRINGHOUSE LN
NASHVILLE, TN 37214
(36.21957, -86.68005)","36.21957, -86.68005",36.21957, -86.68005
19-26204,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/14/2019,10/10/2019,10407052300,Nicoletto's Italian Kitchen,Daniel Nicoletto,2123  BELCOURT AVE,NASHVILLE,TN,37212.0,18.0,37016800.0,"2123 BELCOURT AVE
NASHVILLE, TN 37212
(36.136813, -86.802843)","36.136813, -86.802843",36.136813, -86.802843
21-27133,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2021,06/02/2021,07013004000,7-ELEVEN 41044H,David Setlzer,3200  CLARKSVILLE PIKE,NASHVILLE,TN,37218.0,2.0,37012801.0,"3200 CLARKSVILLE PIKE
NASHVILLE, TN 37218
(36.193945, -86.831667)","36.193945, -86.831667",36.193945, -86.831667
19-26196,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,08/12/2019,02/13/2020,08309000500,THE PICNIC TAP HUNTERS LLC,Eric Woodard,975  MAIN ST  102,NASHVILLE,TN,37206.0,5.0,37011900.0,"975 MAIN ST 102
NASHVILLE, TN 37206
(36.178006, -86.751931)","36.178006, -86.751931",36.178006, -86.751931
19-26224,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/27/2019,02/13/2020,14800004900,BAR Y BILLAR LOS PAISANO,,2045  ANTIOCH PIKE,ANTIOCH,TN,37013.0,28.0,37015627.0,"2045 ANTIOCH PIKE
ANTIOCH, TN 37013
(36.068906, -86.6837)","36.068906, -86.6837",36.068906, -86.6837
19-26267,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,09/18/2019,02/13/2020,03406000200,GREEK STYLE GYRO,,1607  GALLATIN PIKE N,MADISON,TN,37115.0,10.0,37010401.0,"1607 GALLATIN PIKE N
MADISON, TN 37115
(36.293169, -86.702346)","36.293169, -86.702346",36.293169, -86.702346
19-26093,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/13/2019,02/13/2020,08309000500,TACOS AURORA,,975  MAIN ST  103,NASHVILLE,TN,37206.0,5.0,37011900.0,"975 MAIN ST 103
NASHVILLE, TN 37206
(36.178006, -86.751931)","36.178006, -86.751931",36.178006, -86.751931
20-26741,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/15/2020,06/12/2020,09215014000,OSCAR'S TACO SHOP #22,Cesar Ruiz,2323  ELLISTON PL,NASHVILLE,TN,37203.0,21.0,37016500.0,"2323 ELLISTON PL
NASHVILLE, TN 37203
(36.149171, -86.806471)","36.149171, -86.806471",36.149171, -86.806471
21-27465,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/15/2021,01/13/2022,14100001800,SUDDEN SERVICE #6645,"Leslie Evans Cherry, Steven Ray Hostetter",7691  HIGHWAY 70  S,NASHVILLE,TN,37221.0,22.0,37018409.0,"7691 HIGHWAY 70 S
NASHVILLE, TN 37221
(36.079816, -86.954095)","36.079816, -86.954095",36.079816, -86.954095
20-26434,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/17/2020,02/14/2020,13315014500,PANCA PERUVIAN RESTAURANT,,3915  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,26.0,37018901.0,"3915 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.086006, -86.729257)","36.086006, -86.729257",36.086006, -86.729257
20-26887,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/20/2020,10/08/2020,08209005400,SONNY'S PATIO PUB & REFUGE,,1318  6TH AVE N,NASHVILLE,TN,37208.0,19.0,37019400.0,"1318 6TH AVE N
NASHVILLE, TN 37208
(36.177498, -86.791023)","36.177498, -86.791023",36.177498, -86.791023
21-27141,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2021,06/02/2021,13600003900,7-ELEVEN 41081H,David Seltzer,2664  SMITH SPRINGS RD,NASHVILLE,TN,37217.0,29.0,37015612.0,"2664 SMITH SPRINGS RD
NASHVILLE, TN 37217
(36.090486, -86.627153)","36.090486, -86.627153",36.090486, -86.627153
20-26858,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/21/2020,10/08/2020,06012005200,ONE STOP MART,,2917  DICKERSON PIKE,NASHVILLE,TN,37207.0,8.0,37011001.0,"2917 DICKERSON PIKE
NASHVILLE, TN 37207
(36.222817, -86.761267)","36.222817, -86.761267",36.222817, -86.761267
17-25262,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/28/2017,03/29/2018,09306106000,NOELLE NASHVILLE,,200  4TH AVE N,NASHVILLE,TN,37219.0,19.0,37019500.0,"200 4TH AVE N
NASHVILLE, TN 37219
(36.163864, -86.779046)","36.163864, -86.779046",36.163864, -86.779046
19-26366,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/21/2019,02/19/2020,10501009000,KING SIAM THAI CUISINE INC,LUCKSANITH SAYASACK,907  12TH AVE S,NASHVILLE,TN,37203.0,17.0,37016300.0,"907 12TH AVE S
NASHVILLE, TN 37203
(36.146726, -86.785902)","36.146726, -86.785902",36.146726, -86.785902
16-20289,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/17/2015,05/13/2016,08209004900,Steadfast Fine Coffee,Steadfast Fine Coffee LLC,603  Taylor ST,Nashville,TN,37208.0,19.0,37019400.0,"603 Taylor ST
Nashville, TN 37208
(36.177683, -86.792037)","36.177683, -86.792037",36.177683, -86.792037
20-26482,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/07/2020,06/26/2020,09313001300,"Vibes Bar & Lounge, LLC",,1524A  DEMONBREUN ST,NASHVILLE,TN,37203.0,19.0,37019500.0,"1524A DEMONBREUN ST
NASHVILLE, TN 37203
(36.152794, -86.790305)","36.152794, -86.790305",36.152794, -86.790305
20-26532,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/09/2020,06/25/2020,11613009100,Belle Meade Meat & Three,,5025  HARDING PIKE,NASHVILLE,TN,37205.0,23.0,37018500.0,"5025 HARDING PIKE
NASHVILLE, TN 37205
(36.106953, -86.866945)","36.106953, -86.866945",36.106953, -86.866945
20-26801,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/25/2020,07/09/2020,10214000600,CRACKER BARREL OLD COUNTRY STORE #34,,6941  CHARLOTTE PIKE,NASHVILLE,TN,37209.0,22.0,37018301.0,"6941 CHARLOTTE PIKE
NASHVILLE, TN 37209
(36.129742, -86.90187)","36.129742, -86.90187",36.129742, -86.90187
19-26050,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/21/2019,10/11/2019,060080A00700CO,AMBROSIA HOOKAH BAR AND LOUNGE,,123  EWING DR  7,NASHVILLE,TN,37207.0,2.0,37011001.0,"123 EWING DR 7
NASHVILLE, TN 37207
(36.229661, -86.760862)","36.229661, -86.760862",36.229661, -86.760862
19-26249,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/06/2019,10/11/2019,16300023200,59 SHELL,,1110  BELL RD,ANTIOCH,TN,37013.0,32.0,37019118.0,"1110 BELL RD
ANTIOCH, TN 37013
(36.044824, -86.662669)","36.044824, -86.662669",36.044824, -86.662669
19-25982,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/17/2019,10/11/2019,05108010400,LOS 3 VOLCANES,Los 3 Volcanes Restaurant,1021  GALLATIN PIKE S,MADISON,TN,37115.0,7.0,37010702.0,"1021 GALLATIN PIKE S
MADISON, TN 37115
(36.249844, -86.719096)","36.249844, -86.719096",36.249844, -86.719096
19-26050,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/21/2019,10/11/2019,060080A00600CO,AMBROSIA HOOKAH BAR AND LOUNGE,,123  EWING DR  6,NASHVILLE,TN,37207.0,2.0,37011001.0,"123 EWING DR 6
NASHVILLE, TN 37207
(36.229661, -86.760862)","36.229661, -86.760862",36.229661, -86.760862
19-26248,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/06/2019,10/11/2019,18300016500,62 SHELL,,13016  OLD HICKORY BLVD,ANTIOCH,TN,37013.0,33.0,37015630.0,"13016 OLD HICKORY BLVD
ANTIOCH, TN 37013
(36.016072, -86.620052)","36.016072, -86.620052",36.016072, -86.620052
21-27471,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/15/2021,01/13/2022,02200001200,SUDDEN SERVICE #8050,"Leslie Evans Cherry, Steven Ray Hostetter",6444  EATONS CREEK RD,JOELTON,TN,37080.0,1.0,37010104.0,"6444 EATONS CREEK RD
JOELTON, TN 37080
(36.321239, -86.868203)","36.321239, -86.868203",36.321239, -86.868203
21-27473,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/15/2021,01/13/2022,09311006000,SUDDEN SERVICE #8235,"Leslie Evans Cherry, Steven Ray Hostetter",9  HERMITAGE AVE,NASHVILLE,TN,37210.0,19.0,37019500.0,"9 HERMITAGE AVE
NASHVILLE, TN 37210
(36.157223, -86.769999)","36.157223, -86.769999",36.157223, -86.769999
20-26864,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/03/2020,10/08/2020,16900001400,LOVELESS CAFE,,8400  HIGHWAY 100,NASHVILLE,TN,37221.0,35.0,37018408.0,"8400 HIGHWAY 100
NASHVILLE, TN 37221
(36.034799, -86.971834)","36.034799, -86.971834",36.034799, -86.971834
20-26874,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/11/2020,10/08/2020,09216025500,WINNER'S BAR & GRILL,,1913  DIVISION ST,NASHVILLE,TN,37203.0,19.0,37019500.0,"1913 DIVISION ST
NASHVILLE, TN 37203
(36.149747, -86.796996)","36.149747, -86.796996",36.149747, -86.796996
19-26280,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/24/2019,10/15/2019,11714013300,COLE'S KITCHEN,,2201  BANDYWOOD DR,NASHVILLE,TN,37215.0,25.0,37017901.0,"2201 BANDYWOOD DR
NASHVILLE, TN 37215
(36.10482, -86.816466)","36.10482, -86.816466",36.10482, -86.816466
20-26784,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/22/2020,07/09/2020,093130B00100CO,BAR LOUIE,,314  11TH AVE S,NASHVILLE,TN,37203.0,19.0,37019500.0,"314 11TH AVE S
NASHVILLE, TN 37203
(36.152933, -86.783719)","36.152933, -86.783719",36.152933, -86.783719
19-26263,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,09/13/2019,07/09/2020,09115020600,THE TURNIP TRUCK,,5001  CHARLOTTE AVE,NASHVILLE,TN,37209.0,24.0,37013400.0,"5001 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.151987, -86.847567)","36.151987, -86.847567",36.151987, -86.847567
21-27058,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/25/2021,01/13/2022,10213001800,THOUSAND HILLS NASHVILLE WEST,,7113  CHARLOTTE PIKE  2,NASHVILLE,TN,37209.0,22.0,37018301.0,"7113 CHARLOTTE PIKE 2
NASHVILLE, TN 37209
(36.127134, -86.90819)","36.127134, -86.90819",36.127134, -86.90819
21-27246,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/17/2021,01/13/2022,08212034300,UP-DOWN NASHVILLE,,927  WOODLAND ST,NASHVILLE,TN,37206.0,6.0,37019200.0,"927 WOODLAND ST
NASHVILLE, TN 37206
(36.175753, -86.754512)","36.175753, -86.754512",36.175753, -86.754512
15-17227,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/19/2014,01/08/2015,10616008700,Walgreens,Walgreen Co.,1083  MURFREESBORO PIKE,NASHVILLE,TN,37217.0,16.0,37015802.0,"1083 MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.127394, -86.712091)","36.127394, -86.712091",36.127394, -86.712091
21-27470,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/15/2021,01/13/2022,10302003100,SUDDEN SERVICE #8020,"Leslie Evans Cherry, Steven Ray Hostetter",301  WHITE BRIDGE PIKE,NASHVILLE,TN,37209.0,20.0,37018101.0,"301 WHITE BRIDGE PIKE
NASHVILLE, TN 37209
(36.14535, -86.857976)","36.14535, -86.857976",36.14535, -86.857976
21-27467,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/15/2021,01/13/2022,09112015900,SUDDEN SERVICE #7204,"Leslie Evans Cherry, Steven Ray Hostetter",4601  ALABAMA AVE,NASHVILLE,TN,37209.0,24.0,37013400.0,"4601 ALABAMA AVE
NASHVILLE, TN 37209
(36.153285, -86.842528)","36.153285, -86.842528",36.153285, -86.842528
21-27466,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/15/2021,01/13/2022,10214000700,SUDDEN SERVICE #6653,"Leslie Evans Cherry, Steven Ray Hostetter",6931  CHARLOTTE PIKE,NASHVILLE,TN,37209.0,22.0,37018301.0,"6931 CHARLOTTE PIKE
NASHVILLE, TN 37209
(36.130011, -86.900725)","36.130011, -86.900725",36.130011, -86.900725
